1,Air Force,MW-Mountain
2,Akron,MAC-East
3,Alabama,SEC-West
4,Appalachian St,Sun Belt-East
5,Arizona,Pac-12-South
6,Arizona St,Pac-12-South
7,Arkansas,SEC-West
8,Arkansas St,Sun Belt-West
9,Army,Independent
10,Auburn,SEC-West
11,Ball St,MAC-West
12,Baylor,Big-XII
13,Boise St,MW-Mountain
14,Boston College,ACC-Atlantic
15,Bowling Green,MAC-East
16,Buffalo,MAC-East
17,BYU,Independent
18,C Michigan,MAC-West
19,California,Pac-12-North
20,Charlotte,CUSA-East
21,Cincinnati,AAC-East
22,Clemson,ACC-Atlantic
23,Coastal Car,Sun Belt-East
24,Colorado,Pac-12-South
25,Colorado St,MW-Mountain
26,Connecticut,AAC-East
27,Duke,ACC-Coastal
28,E Michigan,MAC-West
29,East Carolina,AAC-East
30,FL Atlantic,CUSA-East
31,Florida,SEC-East
32,Florida Intl,CUSA-East
33,Florida St,ACC-Atlantic
34,Fresno St,MW-West
35,Ga Southern,Sun Belt-East
36,Georgia,SEC-East
37,Georgia St,Sun Belt-East
38,Georgia Tech,ACC-Coastal
39,Hawaii,MW-West
40,Houston,AAC-West
42,Illinois,B1G-West
43,Indiana,B1G-East
44,Iowa,B1G-West
45,Iowa St,Big-XII
46,Kansas,Big-XII
47,Kansas St,Big-XII
48,Kent,MAC-East
49,Kentucky,SEC-East
41,Liberty,Independent
50,Louisiana Tech,CUSA-West
51,Louisville,ACC-Atlantic
52,LSU,SEC-West
53,Marshall,CUSA-East
54,Maryland,B1G-East
55,Massachusetts,Independent
56,Memphis,AAC-West
57,Miami FL,ACC-Coastal
58,Miami OH,MAC-East
59,Michigan,B1G-East
60,Michigan St,B1G-East
61,Minnesota,B1G-West
62,Mississippi,SEC-West
63,Mississippi St,SEC-West
64,Missouri,SEC-East
65,MTSU,CUSA-East
66,N Illinois,MAC-West
67,Navy,AAC-West
68,NC State,ACC-Atlantic
69,Nebraska,B1G-West
70,Nevada,MW-West
71,New Mexico,MW-Mountain
72,New Mexico St,Independent
73,North Carolina,ACC-Coastal
74,North Texas,CUSA-West
75,Northwestern,B1G-West
76,Notre Dame,Independent
77,Ohio,MAC-East
78,Ohio St,B1G-East
79,Oklahoma,Big-XII
80,Oklahoma St,Big-XII
81,Old Dominion,CUSA-East
82,Oregon,Pac-12-North
83,Oregon St,Pac-12-North
84,Penn St,B1G-East
85,Pittsburgh,ACC-Coastal
86,Purdue,B1G-West
87,Rice,CUSA-West
88,Rutgers,B1G-East
89,San Diego St,MW-West
90,San Jose St,MW-West
91,SMU,AAC-West
92,South Alabama,Sun Belt-West
93,South Carolina,SEC-East
94,South Florida,AAC-East
95,Southern Miss,CUSA-West
96,Stanford,Pac-12-North
97,Syracuse,ACC-Atlantic
98,TCU,Big-XII
99,Temple,AAC-East
100,Tennessee,SEC-East
101,Texas,Big-XII
102,Texas A&M,SEC-West
103,Texas St,Sun Belt-West
104,Texas Tech,Big-XII
105,Toledo,MAC-West
106,Troy,Sun Belt-East
107,Tulane,AAC-West
108,Tulsa,AAC-West
109,UAB,CUSA-West
110,UCF,AAC-East
111,UCLA,Pac-12-South
112,Louisiana,Sun Belt-West
113,ULM,Sun Belt-West
114,UNLV,MW-West
115,USC,Pac-12-South
116,UT San Antonio,CUSA-West
117,Utah,Pac-12-South
118,Utah St,MW-Mountain
119,UTEP,CUSA-West
120,Vanderbilt,SEC-East
121,Virginia,ACC-Coastal
122,Virginia Tech,ACC-Coastal
123,W Michigan,MAC-West
124,Wake Forest,ACC-Atlantic
125,Washington,Pac-12-North
126,Washington St,Pac-12-North
127,West Virginia,Big-XII
128,Wisconsin,B1G-West
129,WKU,CUSA-East
130,Wyoming,MW-Mountain
