opponent,result,win,loss,margin,location,opponent rating
Oregon St,1,2,10,46,HOME,0.174579496694516
Rutgers,1,1,11,49,HOME,0.14662048402134
TCU,1,6,6,12,AWAY,0.469804460206177
Tulane,1,6,6,43,HOME,0.41598389157235
Penn St,1,9,3,1,AWAY,0.691375922866113
Indiana,1,5,7,23,HOME,0.42068439849451
Minnesota,1,6,6,16,HOME,0.456406988141515
Nebraska,1,4,8,5,HOME,0.412968926754821
Michigan St,1,7,5,20,AWAY,0.54056336082308
Maryland,1,5,7,1,AWAY,0.459625516682262
Michigan,1,10,2,23,HOME,0.812987780667157
Purdue,0,6,6,29,AWAY,0.537934346189599
